iter	Passed	Remaining
0	0	63
1	1	56
2	1	52
3	1	47
4	2	47
5	3	47
6	3	46
7	3	45
8	4	45
9	4	44
10	5	45
11	5	43
12	6	42
13	6	41
14	7	40
15	7	39
16	7	38
17	8	37
18	8	36
19	8	35
20	9	34
21	9	33
22	9	33
23	10	32
24	10	31
25	10	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	25
38	15	24
39	16	24
40	16	23
41	16	22
42	16	22
43	17	22
44	17	21
45	18	21
46	18	20
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	25	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	31	10
75	31	9
76	32	9
77	32	9
78	32	8
79	33	8
80	33	7
81	34	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	37	3
92	38	2
93	38	2
94	39	2
95	39	1
96	39	1
97	40	0
98	40	0
99	40	0
