iter	Passed	Remaining
0	108	108810
1	109	54661
2	110	36569
3	110	27516
4	111	22092
5	111	18471
6	112	15889
7	112	13952
8	112	12439
9	113	11237
10	114	10272
11	114	9449
12	115	8751
13	116	8172
14	116	7651
15	117	7199
16	117	6795
17	117	6434
18	118	6113
19	118	5827
20	119	5570
21	120	5338
22	120	5122
23	121	4922
24	121	4737
25	121	4566
26	122	4407
27	122	4262
28	123	4127
29	123	3998
30	124	3878
31	124	3766
32	124	3661
33	125	3563
34	125	3469
35	126	3381
36	126	3299
37	127	3221
38	127	3145
39	128	3073
40	128	3005
41	129	2944
42	129	2883
43	130	2825
44	130	2768
45	130	2714
46	131	2663
47	131	2613
48	132	2566
49	132	2520
50	133	2475
51	133	2432
52	133	2391
53	134	2351
54	134	2313
55	135	2276
56	135	2240
57	135	2205
58	136	2172
59	136	2140
60	136	2108
61	137	2078
62	137	2049
63	138	2020
64	138	1993
65	139	1967
66	139	1941
67	139	1916
68	140	1891
69	140	1867
70	140	1844
71	141	1821
72	141	1799
73	142	1778
74	142	1758
75	143	1739
76	143	1719
77	143	1701
78	144	1683
79	144	1666
80	145	1648
81	145	1631
82	145	1612
83	146	1597
84	146	1581
85	147	1565
86	147	1549
87	148	1534
88	148	1519
89	148	1505
90	149	1490
91	149	1476
92	149	1462
93	150	1449
94	150	1436
95	151	1423
96	151	1410
97	151	1398
98	152	1385
99	152	1373
100	153	1362
101	153	1350
102	153	1339
103	154	1328
104	154	1317
105	154	1306
106	155	1296
107	155	1286
108	156	1276
109	156	1266
110	156	1256
111	157	1246
112	157	1237
113	157	1227
114	158	1218
115	158	1209
116	159	1200
117	159	1193
118	160	1184
119	160	1177
120	160	1169
121	161	1160
122	161	1152
123	162	1145
124	162	1137
125	162	1129
126	163	1121
127	163	1114
128	163	1107
129	164	1099
130	164	1092
131	165	1085
132	165	1078
133	165	1072
134	166	1065
135	166	1059
136	167	1052
137	167	1046
138	167	1039
139	168	1033
140	168	1027
141	168	1020
142	169	1014
143	169	1008
144	170	1002
145	170	996
146	170	991
147	171	985
148	171	980
149	172	974
150	172	969
151	172	963
152	173	958
153	173	953
154	173	948
155	174	944
156	175	939
157	175	935
158	175	930
159	176	925
160	176	920
161	177	915
162	177	911
163	177	906
164	178	902
165	178	897
166	179	893
167	179	888
168	179	884
169	180	880
170	180	875
171	181	871
172	181	867
173	181	863
174	182	858
175	182	854
176	182	850
177	183	846
178	183	842
179	184	838
180	184	834
181	184	831
182	185	827
183	185	823
184	186	819
185	186	815
186	186	812
187	187	808
188	187	804
189	187	801
190	188	797
191	188	794
192	189	790
193	189	787
194	190	784
195	190	781
196	190	778
197	191	775
198	191	772
199	192	769
200	192	766
201	193	763
202	193	760
203	193	756
204	194	753
205	194	750
206	195	747
207	195	744
208	195	741
209	196	738
210	196	735
211	197	732
212	197	729
213	197	726
214	198	723
215	198	721
216	199	718
217	199	715
218	199	712
219	200	709
220	200	706
221	200	704
222	201	701
223	201	698
224	202	696
225	202	693
226	202	690
227	203	688
228	203	685
229	204	683
230	204	680
231	204	678
232	205	676
233	205	674
234	206	671
235	206	669
236	207	667
237	207	664
238	208	662
239	208	659
240	208	657
241	209	655
242	209	652
243	209	650
244	210	648
245	210	645
246	211	643
247	211	641
248	211	638
249	212	636
250	212	634
251	212	632
252	213	629
253	213	627
254	214	625
255	214	623
256	214	621
257	215	619
258	215	616
259	216	614
260	216	612
261	216	610
262	217	608
263	217	606
264	217	604
265	218	602
266	218	600
267	219	598
268	219	596
269	219	594
270	220	592
271	220	590
272	221	589
273	221	587
274	221	585
275	222	583
276	222	581
277	223	579
278	223	577
279	223	575
280	224	574
281	224	572
282	225	570
283	225	568
284	225	566
285	226	564
286	226	563
287	227	561
288	227	559
289	227	557
290	228	556
291	228	554
292	228	552
293	229	550
294	229	549
295	230	547
296	230	545
297	230	543
298	231	542
299	231	540
300	232	538
301	232	537
302	232	535
303	233	533
304	233	532
305	233	530
306	234	529
307	235	528
308	235	526
309	235	524
310	236	523
311	236	522
312	237	520
313	238	520
314	238	518
315	238	517
316	239	515
317	239	514
318	240	512
319	240	511
320	241	509
321	241	508
322	242	507
323	242	506
324	242	504
325	243	503
326	243	501
327	244	500
328	244	498
329	244	497
330	245	495
331	245	494
332	246	492
333	246	491
334	246	489
335	247	488
336	247	487
337	247	485
338	248	484
339	248	482
340	249	481
341	249	479
342	249	478
343	250	477
344	250	475
345	250	474
346	251	473
347	251	471
348	252	470
349	252	469
350	253	468
351	253	466
352	254	465
353	254	464
354	254	463
355	255	461
356	255	460
357	256	459
358	256	457
359	256	456
360	257	455
361	257	454
362	257	452
363	258	451
364	258	450
365	259	448
366	259	447
367	259	446
368	260	445
369	260	443
370	261	442
371	261	441
372	261	440
373	262	438
374	262	437
375	263	436
376	263	435
377	263	434
378	264	433
379	264	431
380	265	430
381	265	429
382	265	428
383	266	427
384	266	426
385	267	425
386	267	424
387	268	423
388	268	422
389	269	420
390	269	419
391	270	418
392	270	417
393	270	416
394	271	415
395	271	414
396	271	413
397	272	411
398	272	410
399	273	409
400	273	408
401	273	407
402	274	406
403	274	405
404	275	404
405	275	402
406	275	401
407	276	400
408	276	399
409	276	398
410	277	397
411	277	396
412	278	395
413	278	394
414	278	393
415	279	391
